task,l_target,depth,width,lr,params,train_loss,test_loss,test_acc,loss_5,loss_20,loss_50,loss_100
path,3,8,64,0.005,91522,0.004786265090340748,0.23085928690433502,0.98265,0.24314263236522674,0.25019008898735046,0.015221919309347867,0.015134701076894998
k4,3,1,64,0.001,4610,0.5450959868431091,1.1418638830184937,0.238125,0.5501036257743835,0.5478921566009521,0.5467833461761474,0.5455183615684509
indset4,3,6,64,0.001,66562,0.0,0.0,1.0,2.594105732214302e-07,0.0,0.0,0.0
indset4,3,2,8,0.01,322,1.5810701961527228e-07,7.677065696043427e-09,1.0,0.003420442923903465,6.549407003330998e-05,7.986273802089272e-06,1.4626335623688646e-06
cycle,3,6,16,0.01,4354,0.2015932275056839,0.09396882873773575,0.981525,0.30053601479530334,0.25670804357528687,0.25147668516635896,0.23608706164360047
path,3,4,16,0.005,2786,0.09493755531311035,0.0934586011171341,0.992075,0.23976913356781007,0.20132210278511048,0.12449992072582244,0.1081401327252388
path,3,2,32,0.001,4418,0.23114755415916444,0.1152999085187912,0.998225,0.3127951846122742,0.23634586691856385,0.23230623424053193,0.23172927021980286
k4,3,6,8,0.001,1170,0.5133593940734863,1.1837206029891967,0.2385,0.550057433128357,0.5418037729263305,0.5332384228706359,0.5218817713260651
path,3,3,16,0.01,1986,0.17758857798576355,0.09287147331237793,0.998325,0.23124253344535828,0.19079272150993348,0.1852654767036438,0.1795608777999878
cycle,3,1,16,0.005,354,0.27775004184246066,0.12539016723632812,0.983325,0.284692280292511,0.2808050184249878,0.2803223431110382,0.27933840441703794
cycle,3,7,32,0.001,20034,0.04837962687015533,0.1532261745929718,0.98385,0.37493311059474943,0.258579808473587,0.23033112967014313,0.17563000118732452
k4,3,8,64,0.005,91522,0.5431840467453003,1.1743520851135254,0.238125,0.5520677132606506,0.5431840467453003,0.5502080459594727,0.5502072582244873
path,3,1,64,0.001,4610,0.24310311698913575,0.09380245190858841,0.998225,0.33096725821495054,0.24593386459350586,0.24598623466491698,0.24554718732833863
indset4,3,8,64,0.01,91394,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cycle,3,4,64,0.001,41730,0.0031854758001863956,0.3115441360473633,0.981775,0.2949276859760284,0.2541646937131882,0.22060481500625612,0.11055990171432495
cycle,3,7,8,0.001,1362,0.2524990704059601,0.10464618587493897,0.983925,0.4092435667514801,0.27943403100967407,0.27410782384872434,0.2626682505607605
path,3,8,16,0.01,5986,0.04047586834430695,0.026150716379284858,0.995925,0.23657763612270355,0.25221409010887147,0.24552648079395295,0.33859284210205076
k4,3,7,32,0.01,20098,0.5499146199226379,1.160979600906372,0.238125,0.5510548954010009,0.55014284324646,0.55017058801651,0.5500679669380188
k4,3,6,16,0.001,4386,0.48345836997032166,1.1436676864624022,0.239375,0.5501040620803833,0.5502408156394959,0.530232186794281,0.5099463419914245
indset4,3,1,16,0.001,354,9.986992823542095e-06,4.825085970878717e-07,1.0,0.034184517174959184,0.005831006284803152,0.0006769353887066245,9.81010136893019e-05
indset4,3,7,32,0.005,20034,0.0,0.0,1.0,0.0,0.0,0.0,0.0
k4,3,4,64,0.01,41858,0.5378453044891357,1.1571400966644287,0.238125,0.545487564086914,0.5396243035793304,0.5378682360649109,0.5500854911804199
indset4,3,3,64,0.01,29314,0.0,0.0,1.0,0.0,0.0,0.0,0.0
indset4,3,4,64,0.005,41730,0.0,0.0,1.0,0.0,0.0,0.0,0.0
k4,3,3,64,0.005,29442,0.5140416927337647,1.1738156290054322,0.238125,0.5425914483070373,0.5346879596710206,0.542743289232254,0.5198934354782104
indset4,3,4,8,0.005,738,0.0,0.0,1.0,4.931825719540939e-05,5.614757057514907e-09,0.0,0.0
indset4,3,5,64,0.01,54146,0.0,0.0,1.0,0.0,0.0,0.0,0.0
indset4,3,7,8,0.005,1362,0.0,0.0,1.0,1.6999242447468534e-08,0.0,0.0,0.0
k4,3,2,64,0.01,17026,0.5365337393283844,1.2296794214248656,0.23845,0.5434049978256226,0.5384840345382691,0.5372618384361267,0.5372086277008057
k4,3,5,64,0.005,54274,0.5243860869407654,1.194125394821167,0.238125,0.5523101174831391,0.5426750280857087,0.5388701956272125,0.53379030418396
indset4,3,2,64,0.005,16898,0.0,0.0,1.0,1.9002848188392818e-05,1.9361217018740718e-06,3.2650119510435617e-07,6.73770401249385e-08
k4,3,1,32,0.01,1282,0.5452123212814332,1.1447577896118164,0.238125,0.5524424419403077,0.5472004694938659,0.5454808602333069,0.5454075736999512
cycle,3,8,8,0.01,1570,0.21793871450424193,0.08215331095457078,0.98415,0.3154703848361969,0.2626033444404602,0.2508517074584961,0.23771345782279968
indset4,3,6,32,0.01,16898,0.0,0.0,1.0,0.0,0.0,0.0,0.0
